traffic_report_id,published_date,issue_reported,latitude,longitude,address,traffic_report_status,hour
CEECBAD6EBA4909E9BAE00C95C8F5427EA8D26B7_1717214878,2024-06-01 04:07:58+00:00,Crash Urgent,30.268345,-97.729585,Waller St / E 10th St,ARCHIVED,4
7C79321AB1BC0DD447682AC5372A0D5BFA8F251F_1717214992,2024-06-01 04:09:52+00:00,COLLISION WITH INJURY,30.394772,-97.866917,Steiner Ranch Blvd / N Fm 620 Rd,ARCHIVED,4
814C4E3C62CB0280EE9C4A21CE3892BE8654C1FF_1717215255,2024-06-01 04:14:15+00:00,Crash Urgent,30.266226,-97.747304,Guadalupe St / W 3rd St,ARCHIVED,4
6BDC80C8779152EBAF9B2F25DC2CB8CA953234ED_1717216015,2024-06-01 04:26:55+00:00,Crash Urgent,30.215659,-97.758805,4308 Terry O Ln,ARCHIVED,4
3807AC7D80021434C1C1D9029D3FEFC5986D354F_1717216246,2024-06-01 04:30:46+00:00,Traffic Hazard,30.363067,-97.697058,W Rundberg Ln / N Lamar Blvd,ARCHIVED,4
9B3F8371A44671F4C79DABD4259CEC82A8B7F1A5_1717216627,2024-06-01 04:37:07+00:00,Crash Urgent,30.203083,-97.664932,3629 Presidential Blvd,ARCHIVED,4
57F65C30B490154C57284B8041B201206D440751_1717217436,2024-06-01 04:50:36+00:00,LOOSE LIVESTOCK,30.262679,-97.621263,Fm 969 Rd / Blue Bluff Rd,ARCHIVED,4
52E39965D37749903CED91C49D41D01E5F292FBB_1717217567,2024-06-01 04:52:47+00:00,Crash Urgent,30.279977,-97.735709,E Martin Luther King Jr Blvd / San Jacinto Blvd,ARCHIVED,4
4FE7A90DAAAA084605F6F37EEF527A50276887D2_1717217659,2024-06-01 04:54:19+00:00,Crash Urgent,30.272559,-97.747804,600-617 W 9th St,ARCHIVED,4
C5E8754637504E5EBF868EFC915AE09CB8BA1C3B_1717218099,2024-06-01 05:01:39+00:00,COLLISION,30.366665,-97.566689,13200-13273 Gregg Manor Rd,ARCHIVED,5
7028EE0D3C34C181058F6594B2E030DDCAF5AACC_1717224147,2024-06-01 06:42:27+00:00,Crash Urgent,30.242436,-97.73034,1302 Parker Ln,ARCHIVED,6
F4297B5AE1CDCE836E052E17E71315F034F39775_1717224657,2024-06-01 06:50:57+00:00,Crash Service,30.430776,-97.763205,0 Mc Neil To Research Sb Ramp,ARCHIVED,6
57BD3A494C8B4B3A2F0A21351E910858B95AE229_1717225361,2024-06-01 07:02:41+00:00,COLLISION,30.450357,-97.725969,13600-14211 MC NEIL RD,ARCHIVED,7
FA59FADCBF0CEF35D5DFDA0B2B7308474E16F44E_1717226215,2024-06-01 07:16:55+00:00,Traffic Hazard,30.479287,-97.766185,9229-9423 W Parmer Ln,ARCHIVED,7
C3792585C423B292341AC775EBC304095E97A527_1717226953,2024-06-01 07:29:13+00:00,TRFC HAZD/ DEBRIS,30.456294,-97.663968,1727-1729 GRAND AVENUE PKWY,ARCHIVED,7
100643D9E1271A7092C638AFA0DC268F20F3BD1C_1717228685,2024-06-01 07:58:05+00:00,COLLISION,30.030523,-97.674465,Camino Real / Fm 1854,ARCHIVED,7
E0E45410CE700744FF35C5CE337E2F7B5B0B8CA9_1717229247,2024-06-01 08:07:27+00:00,Crash Urgent,30.171975,-97.799063,419-529 W Slaughter Ln,ARCHIVED,8
B02B25076199964BB7439541DFD797C0397ED4C0_1717230486,2024-06-01 08:28:06+00:00,Crash Urgent,30.266667,-97.743333,412 Congress Ave,ARCHIVED,8
5BDF0A2DA996D5D89B383318AFDA6FC994A63D58_1717234544,2024-06-01 09:35:44+00:00,Traffic Hazard,30.41252,-97.731614,Whispering Valley Dr / Duval Rd,ARCHIVED,9
DC4DD44D3465997A4A04FD070DF0BF24B75F9CFF_1717234698,2024-06-01 09:38:18+00:00,TRFC HAZD/ DEBRIS,30.448869,-97.656096,2700-blk W PECAN ST,ARCHIVED,9
0E51425BC6723D418B7C9E1894575DB504FFBAD8_1717238985,2024-06-01 10:49:45+00:00,Traffic Hazard,30.433468,-97.768372,12762-12956 N Us 183 Hwy Sb,ARCHIVED,10
346F2749EFBE761597FD81E1C0CC286B1587910C_1717244774,2024-06-01 12:26:14+00:00,Traffic Hazard,30.163235,-97.800782,S 1st St / Taft Ln,ARCHIVED,12
2972171F9CF6653AA953426952B5FFD2535D14A3_1717244956,2024-06-01 12:29:16+00:00,Traffic Hazard,30.416559,-97.749273,11578-11632 Jollyville Rd,ARCHIVED,12
96FA3E6F71FD2261F7325C90CDA49AEDD8641132_1717248748,2024-06-01 13:32:28+00:00,Crash Urgent,30.20635,-97.757528,4900-blk S Ih 35 Nb,ARCHIVED,13
BDB4EF8138BD46AA7F134CD4C2A1DD8FC2863F06_1717249183,2024-06-01 13:39:43+00:00,TRFC HAZD/ DEBRIS,30.422491,-97.924352,16026 POOL CANYON RD,ARCHIVED,13
B5AFBB263F5617EAEF5523F5DDC8831C9EEA7609_1717249740,2024-06-01 13:49:00+00:00,TRFC HAZD/ DEBRIS,30.188624,-97.587805,4716-4806 E Sh 71 Eb,ARCHIVED,13
02161A52F79B14CA0632CEFCB8CD025C2DE5ED0C_1717251948,2024-06-01 14:25:48+00:00,Traffic Hazard,30.372028,-97.72308,8989 RESEARCH BLVD SVRD NB,ARCHIVED,14
5A475AA62E49E59017B1FF7A402B92A8DC8D4A41_1717252396,2024-06-01 14:33:16+00:00,Crash Urgent,30.287118,-97.726776,Red River St / E Dean Keeton St,ARCHIVED,14
32F6CBAB415ED6D718F61FC88F136EAFC6DADD31_1717252662,2024-06-01 14:37:42+00:00,Crash Urgent,30.258915,-97.746234,Barton Springs Rd / S Congress Ave,ARCHIVED,14
49DD744FF126341803FBB56A028DC0177C24F979_1717252892,2024-06-01 14:41:32+00:00,Traffic Hazard,30.442683,-97.664205,1434 W Wells Branch Pkwy,ARCHIVED,14
8900276124508EA0B69A5B92588B276BA8693831_1717253924,2024-06-01 14:58:44+00:00,COLLISN/ LVNG SCN,30.176611,-97.529464,5467-5553 E Sh 71 Wb,ARCHIVED,14
E2FE2412EE50468A9D4867976FF86FD792AE55EE_1717254060,2024-06-01 15:01:00+00:00,Crash Service,30.236709,-97.713793,1301 Crossing Pl,ARCHIVED,15
F7CB489B88FEBCB7886035D43260E3689936C893_1717254298,2024-06-01 15:04:58+00:00,Traffic Hazard,30.296127,-97.783804,Enfield Rd / Lake Austin Blvd,ARCHIVED,15
185B44A1DEEF7AC2851ECBD3FA9B3CDD1A40C152_1717254592,2024-06-01 15:09:52+00:00,Traffic Hazard,30.282134,-97.767478,1000-1006 Winsted Ln,ARCHIVED,15
B02B25076199964BB7439541DFD797C0397ED4C0_1717254701,2024-06-01 15:11:41+00:00,TRFC HAZD/ DEBRIS,30.499856,-97.58059,21323-21331 N SH 130 SVRD NB,ARCHIVED,15
06BC6A372C0484BD4C62494038CAC7C4C62035DF_1717254771,2024-06-01 15:12:51+00:00,Crash Urgent,30.325899,-97.726366,N Lamar Blvd / W Koenig Ln,ARCHIVED,15
FFE0E1571648E86DE0119F35A0DDBDDB98C90EAC_1717256414,2024-06-01 15:40:14+00:00,COLLISION WITH INJURY,30.15304,-97.769383,1600-blk E SLAUGHTER LN,ARCHIVED,15
BC77B0705ECD0E9B1735332131C54C8EA571C491_1717257542,2024-06-01 15:59:02+00:00,Traffic Hazard,30.237563,-97.686705,501 Bastrop Hwy Nb,ARCHIVED,15
F267B8E5A7E8B7E956D2278FCC345757478B3703_1717257852,2024-06-01 16:04:12+00:00,COLLISION,30.349425,-97.536723,12100-12520 E Us 290 Hwy Wb,ARCHIVED,16
246D2E34BEDEDFE76E09931A89BF4631F3916827_1717258460,2024-06-01 16:14:20+00:00,Traffic Hazard,30.291195,-97.628009,Decker Ln / Loyola Ln,ARCHIVED,16
853CA591062E389DDA69B6AC891849AA312DAB40_1717260173,2024-06-01 16:42:53+00:00,Traffic Hazard,30.339403,-97.700802,700-709 E Anderson Ln Svrd Eb,ARCHIVED,16
DA5EB7821DBF976B4784D1D020866EBE07542FC0_1717260735,2024-06-01 16:52:15+00:00,TRFC HAZD/ DEBRIS,30.162474,-97.689343,8900-9931 FM 812 RD,ARCHIVED,16
DF8D8FCE31B05F9F7DA30CCD948575D6BAD9C0AB_1717260798,2024-06-01 16:53:18+00:00,Crash Urgent,30.429088,-97.722521,W Parmer Ln / Adelphi Ln,ARCHIVED,16
6C7FAA15D63FB82FCBEB6343F640F32DEB4AB398_1717260887,2024-06-01 16:54:47+00:00,Traffic Hazard,30.25062,-97.774808,2100 Bluebonnet Ln,ARCHIVED,16
29ED50413352C3CD35A0187E7E61A5A855551B75_1717261142,2024-06-01 16:59:02+00:00,AUTO/ PED,30.227738,-97.821457,5601 BRODIE LN,ARCHIVED,16
BC50A6ED0F0272903A1AC5DC2349AA1E49DFB5FC_1717261379,2024-06-01 17:02:59+00:00,Crash Urgent,30.398292,-97.719387,Burnet Rd / Esperanza Xing,ARCHIVED,17
55625EDC17AEA241D22CFA9C01BD7CAB7F616707_1717262010,2024-06-01 17:13:30+00:00,COLLISION,30.500802,-97.581718,N Sh 130 / Gattis School Rd,ARCHIVED,17
DC0CC2A90246E4EB2B2F873298C5E6D4C9233C74_1717262129,2024-06-01 17:15:29+00:00,TRFC HAZD/ DEBRIS,30.166171,-97.76943,8500-8599 Bluff Springs Rd,ARCHIVED,17
8000134409F9739525D1B91D308AB8444766F41F_1717262268,2024-06-01 17:17:48+00:00,Traffic Hazard,30.173339,-97.798894,9000-9012 S 1st St,ARCHIVED,17
6DBB169C06C09B479392E3A636171E8714B46023_1717262417,2024-06-01 17:20:17+00:00,Traffic Hazard,30.219283,-97.835856,3814-4014 W William Cannon Dr,ARCHIVED,17
9669582CD862FB3798DCA33583826C0FB32BDCE4_1717263121,2024-06-01 17:32:01+00:00,Crash Service,30.257144,-97.746875,S Congress Ave / W Riverside Dr,ARCHIVED,17
EA0A27268C155F17DC639A67B1AB97CCB5165233_1717263183,2024-06-01 17:33:03+00:00,COLLISION WITH INJURY,30.113258,-97.649656,MOORE RD / BURKLUND FARMS RD,ARCHIVED,17
5546443CF7936F056C25DF636352D217C030756C_1717264476,2024-06-01 17:54:36+00:00,COLLISION,30.244872,-97.583405,HUNTERS BEND RD / PLAIN VIEW DR,ARCHIVED,17
9304509649FAD1E302F612507DF3EE7CABF65B17_1717265485,2024-06-01 18:11:25+00:00,Crash Service,30.213757,-97.736084,3700-3950 Todd Ln,ARCHIVED,18
879FB411C4F5FAA03C9128362319974676D99651_1717266171,2024-06-01 18:22:51+00:00,Crash Urgent,30.132647,-97.794498,2333 Cascades Ave,ARCHIVED,18
54FCE74DDD33DC3F1AC11D17CD8076A90BAF1F5E_1717266449,2024-06-01 18:27:29+00:00,Crash Service,30.208548,-97.851553,4515 Kalama Dr,ARCHIVED,18
B356A4362679769BC94A505BAF7000D13AF23FE9_1717267628,2024-06-01 18:47:08+00:00,Crash Urgent,30.279802,-97.721261,1814 E Martin Luther King Jr Blvd,ARCHIVED,18
F85AE74DB48DB6D5D3B4F329C93161754DE0AB2A_1717268574,2024-06-01 19:02:54+00:00,Crash Urgent,30.167023,-97.787225,101-125 W Slaughter Ln,ARCHIVED,19
43B907EBFC5245AC8A6610CCDD6FB5BBEF45CE8A_1717268673,2024-06-01 19:04:33+00:00,Crash Urgent,30.211512,-97.789394,Gobi Dr / W Stassney Ln,ARCHIVED,19
B9FE11A4DA3235058399366F1A69D136A757B592_1717268778,2024-06-01 19:06:18+00:00,Crash Urgent,30.215788,-97.797332,5502-5542 Menchaca Rd,ARCHIVED,19
F8C4F82A0BB5BC59B5F5DE23E91466CFE636D5BC_1717268940,2024-06-01 19:09:00+00:00,Traffic Hazard,30.369626,-97.727265,8725 Burnet Rd,ARCHIVED,19
E34406E2ABB8FB744A5E9281A5BCFF011C260650_1717269435,2024-06-01 19:17:15+00:00,Crash Service,30.189557,-97.771696,6602-6812 S Ih 35 Svrd Sb,ARCHIVED,19
CB852047223EB4C0EC2C483D9268EFB97861128A_1717269505,2024-06-01 19:18:25+00:00,Crash Urgent,30.268216,-97.777135,S MOPAC EXPY SVRD NB / ANDREW ZILKER RD,ARCHIVED,19
8710BCA93219049B5D36136FD05D626A930BD773_1717270113,2024-06-01 19:28:33+00:00,Traffic Hazard,30.200665,-97.865951,5301-5549 W Slaughter Ln,ARCHIVED,19
72448B7792D7AA9BAE361029D06BB23AD7803155_1717270200,2024-06-01 19:30:00+00:00,TRFC HAZD/ DEBRIS,30.163168,-97.725735,7100-7337 E William Cannon Dr,ARCHIVED,19
E4AEA661521F26808F2A530C9C8E164166B837D6_1717270288,2024-06-01 19:31:28+00:00,Crash Urgent,30.393224,-97.732709,10515 N Mopac Expy Svrd Nb,ARCHIVED,19
D584553119A41BDAF5910302B5C7771774ABCD4D_1717270373,2024-06-01 19:32:53+00:00,TRFC HAZD/ DEBRIS,30.426378,-97.779613,8200-8305 Yaupon Dr,ARCHIVED,19
9356DBEE19C30AE392EE87EEAF807E175295E24F_1717272662,2024-06-01 20:11:02+00:00,Crash Service,30.153086,-97.728451,Urania Way / Tranquil Glade Dr,ARCHIVED,20
E015C7217E97F6902C6412BE44D1E12E9C6A908C_1717272701,2024-06-01 20:11:41+00:00,COLLISION,30.457468,-97.468969,19800-20015 N FM 973 RD,ARCHIVED,20
D9D1492C96AD97F85C42C0A1B99E8CD57E8DCE2E_1717273360,2024-06-01 20:22:40+00:00,COLLISION,30.256997,-97.611818,Fm 969 Rd / N Fm 973 Rd,ARCHIVED,20
BC95C414A842DF6B90AC3D79F1F74D551D165565_1717275472,2024-06-01 20:57:52+00:00,Crash Urgent,30.190608,-97.733022,5801 E STASSNEY LN,ARCHIVED,20
70B8DCB93382715A55CE5F2A8356EF5636A2D2DA_1717276193,2024-06-01 21:09:53+00:00,Crash Service,30.207877,-97.780391,603 W Stassney Ln,ARCHIVED,21
8554FE9EE0ED24D97CC3B500A33D4320C0FCD5A3_1717276211,2024-06-01 21:10:11+00:00,Crash Urgent,30.317671,-97.728435,Guadalupe St / W 51st St,ARCHIVED,21
00E263FF6806064C016A643C6587B0D607A6A42D_1717276883,2024-06-01 21:21:23+00:00,Traffic Hazard,30.304562,-97.780674,151-199 ZONE LAKE AUSTIN,ARCHIVED,21
ECD801D28D0A74E2CFCE2BFC97DF37B2543E7BA1_1717277209,2024-06-01 21:26:49+00:00,COLLISION WITH INJURY,30.235697,-97.569911,4509 Felicity Ln,ARCHIVED,21
F78E817B092418A38266ECD41F2E54516F47278E_1717277229,2024-06-01 21:27:09+00:00,COLLISION,30.248866,-97.560975,Fm 969 Rd / N Dunlap Rd,ARCHIVED,21
5410535EBA45BDD70048C12AE294F3CAEDDBE6CA_1717277429,2024-06-01 21:30:29+00:00,Crash Service,30.400193,-97.675753,606-915 W Yager Ln,ARCHIVED,21
45CE120FEAA2C1A2BB53DB6C8FB833E58D6BB661_1717277451,2024-06-01 21:30:51+00:00,Crash Urgent,30.248411,-97.736638,E Riverside Dr / Kenwood Ave,ARCHIVED,21
EA10E810F96FCA6858E37FDA9832ACE147EED87C_1717277703,2024-06-01 21:35:03+00:00,Crash Urgent,30.405744,-97.668745,W Parmer Ln / Center Lake Dr,ARCHIVED,21
9B81AB8B62E90FA70A75B819D6F773CC281D6F75_1717278387,2024-06-01 21:46:27+00:00,VEHICLE FIRE,30.308041,-97.48726,10908 JONES RD,ARCHIVED,21
0CF950B5E4D2EBD7C978C76091DDCE6176845697_1717279235,2024-06-01 22:00:35+00:00,Traffic Hazard,30.46989,-97.790934,13100-13311 N Fm 620 Rd Nb,ARCHIVED,22
A874F83E95A94266C7D2856A7CBB42EE5AF2E01A_1717279291,2024-06-01 22:01:31+00:00,Crash Service,30.299589,-97.715802,1100-1111 Ardenwood Rd,ARCHIVED,22
662791B56C06D86D3C0CB16E8163662DD014FD9F_1717279358,2024-06-01 22:02:38+00:00,Crash Urgent,30.221911,-97.83811,4200-4232 W WILLIAM CANNON DR,ARCHIVED,22
71EA8C8066411034867A2D0BD2C4D1B56F45AF2B_1717279887,2024-06-01 22:11:27+00:00,TRFC HAZD/ DEBRIS,30.397674,-97.928911,Hudson Bend Rd / N Fm 620 Rd,ARCHIVED,22
9AE17B153A32567D1646CAA8C4010174C30AC349_1717280340,2024-06-01 22:19:00+00:00,Crash Service,30.417669,-97.704661,12407 N Mopac Expy Svrd Nb,ARCHIVED,22
7C9FE6831F52E30E0EDE4F8C54FD9BBA673E8D8B_1717280575,2024-06-01 22:22:55+00:00,Crash Urgent,30.331117,-97.62418,9570-9590 E Us 290 Hwy Svrd Wb,ARCHIVED,22
E0837D45B42D05C84938A39FDE34641FF3BC328D_1717280609,2024-06-01 22:23:29+00:00,Crash Urgent,30.34212,-97.612207,Blue Goose Rd / Amaranth Ln,ARCHIVED,22
011C945F30CE2CBAFC452F39840F025693339C42_1717280876,2024-06-01 22:27:56+00:00,Traffic Hazard,30.323602,-97.67094,7600-7740 183 Toll Sb,ARCHIVED,22
91A0461DA8536C97056D3B86390D0BDD472CA52B_1717281315,2024-06-01 22:35:15+00:00,COLLISION,30.152878,-97.768757,1716 E SLAUGHTER LN,ARCHIVED,22
784E9240155834852DFF458A730CCEB50229DF32_1717281454,2024-06-01 22:37:34+00:00,Crash Urgent,30.307147,-97.781898,2605 Westlake Dr,ARCHIVED,22
2E5A616A2CB3B91852EAFE6C9F29C186CC2EFD2E_1717281862,2024-06-01 22:44:22+00:00,Crash Urgent,30.356082,-97.616835,Magnus St / Harris Branch Pkwy,ARCHIVED,22
1F84839EE29222E0274CCB8451BF08D29CA7BE7E_1717282847,2024-06-01 23:00:47+00:00,COLLISION,30.341076,-97.557699,100-blk N Lexington St,ARCHIVED,23
DC5A02AD7C6CC4B77E93DC175800619E7E684464_1717283388,2024-06-01 23:09:48+00:00,Stalled Vehicle,30.328847,-97.645979,9301 E Us 290 Hwy Svrd Eb,ARCHIVED,23
64784BEDD53258D0152783E812438F26F69DA48C_1717283873,2024-06-01 23:17:53+00:00,Crash Urgent,30.488182,-97.761762,9200-9425 Neenah Ave,ARCHIVED,23
FDC01209F90EDA589F0453B7E29E0114923ECD8B_1717284375,2024-06-01 23:26:15+00:00,Crash Service,30.255492,-97.761823,1100 S Lamar Blvd,ARCHIVED,23
0AEC17CE3BFF113E1C7C16E9D9DCAF90BF590974_1717284455,2024-06-01 23:27:35+00:00,Crash Urgent,30.432566,-97.653011,E Wells Branch Pkwy / S Heatherwilde Blvd,ARCHIVED,23
8334918DA76533B5C14F235F374E327C95035AA3_1717285027,2024-06-01 23:37:07+00:00,Crash Service,30.233362,-97.684618,600-764 Bastrop Hwy Sb,ARCHIVED,23
B78037BFC8CCA3DCD3667BBC6B92B23D431FC454_1717285237,2024-06-01 23:40:37+00:00,COLLISION,30.086967,-97.742997,8700-8937 S SH 45 E EB,ARCHIVED,23
76FBDD2B2EA23E13A5B1DBCF7900B3D92134F3A1_1717285481,2024-06-01 23:44:41+00:00,Crash Service,30.235942,-97.728458,2200-2225 Woodland Ave,ARCHIVED,23
1D32238496DF5AE1C9E06AA818F82CA7FAC99CD1_1717285697,2024-06-01 23:48:17+00:00,Crash Service,30.229092,-97.88682,7400-7913 W Us 290 Hwy,ARCHIVED,23
430D53392925E841EF2DAA3C47DADD8DE98241F0_1717285810,2024-06-01 23:50:10+00:00,Stalled Vehicle,30.325376,-97.841915,901-999 ZONE LAKE AUSTIN,ARCHIVED,23
226E8783740869EA2C293750EC704DBCBD281B71_1717287211,2024-06-02 00:13:31+00:00,COLLISN/ LVNG SCN,30.174329,-97.769418,7612 BLUFF SPRINGS RD,ARCHIVED,0
A2E937136E57163ED6E6A73EB864E4F3F613EA67_1717290797,2024-06-02 01:13:17+00:00,TRFC HAZD/ DEBRIS,30.158992,-97.773857,4401-4536 BRANDT RD,ARCHIVED,1
0B9C57DB4F740E08A9A314C9428FC5E7ADDFF232_1717292065,2024-06-02 01:34:25+00:00,Crash Service,30.405345,-97.646908,13304 Fieldgate Dr,ARCHIVED,1
510DB8CCD12118CF88A7C860B741BD61530AEF0C_1717292426,2024-06-02 01:40:26+00:00,LOOSE LIVESTOCK,30.099422,-97.744185,4010 Fm 1327 Rd To Station,ARCHIVED,1
E5CB99E93E3A3839E702691C45D6CC28FFCABF9E_1717292517,2024-06-02 01:41:57+00:00,Traffic Hazard,30.260913,-97.735536,Brushy St / E Cesar Chavez St,ARCHIVED,1
B9ADD70531519C256186579D20BC7CEC509B4BD3_1717293651,2024-06-02 02:00:51+00:00,Crash Urgent,30.369949,-97.667416,Dessau Rd / Wandering Way,ARCHIVED,2
27858A0672AFDADFFF64D26877B49F4F5A9D2471_1717293834,2024-06-02 02:03:54+00:00,Crash Urgent,30.358727,-97.670805,MEADOWMEAR DR / DESSAU RD,ARCHIVED,2
49820F6FD5C388C563F6BEAEF5585A2AD3DC8413_1717294480,2024-06-02 02:14:40+00:00,Crash Urgent,30.450518,-97.78464,9213-9315 Anderson Mill Rd,ARCHIVED,2
0103B8C397F0C92E47D9D803B50740B2C6B015C3_1717294717,2024-06-02 02:18:37+00:00,COLLISN/ LVNG SCN,30.348215,-97.562373,E Us 290 Hwy Wb / Gregg Manor Rd,ARCHIVED,2
9E0A916215D99196F44821DFC348C2843EE5B5A7_1717296400,2024-06-02 02:46:40+00:00,Crash Urgent,30.373724,-97.66904,1121-1209 E BRAKER LN,ARCHIVED,2
