Test ID,GWD (m),Elevation,L (km),Slope (%),PGA (g),Target
8105,1.869008541,2.885365009,1.096793674,0.410186142,0.409101337,1
2778,1.999721527,4.248073101,2.135823372,0.621959567,0.389965385,0
16185,1.882504702,2.936426401,1.096360988,0.410186142,0.409101337,1
18586,2.180239916,3.305557489,1.234145523,0.4228324,0.409101337,0
2758,1.776658535,4.153905869,2.138202733,0.964666963,0.389965385,0
48198,1.389335394,2.237303257,0.318800994,1.680292487,0.425155848,1
5173,1.917865276,4.30796051,2.07688379,1.198904514,0.389965385,0
48150,1.82420361,2.906342506,0.995044326,1.24036479,0.412305444,0
9495,1.716616511,3.413469315,1.669521583,0.675647616,0.399447083,0
4515,1.597847819,3.390617371,1.644117447,1.199064016,0.399447083,0
49559,2.830323696,3.155391216,0.808158733,3.829018354,0.415506274,1
4513,1.643656492,3.421964169,1.599882625,1.112603068,0.399447083,0
14503,2.107600689,3.498447657,1.377514884,0.949895442,0.405888319,0
3740,1.912858009,4.10047102,2.061331142,0.866720557,0.389965385,0
17255,0.866939306,1.726034284,0.167377742,0.550278425,0.434091926,0
22420,1.69539547,3.4823699,1.664868526,0.257724792,0.401880562,0
15586,2.102180481,3.051918268,1.114581117,0.330875814,0.411470115,0
2775,1.750643492,4.072330952,2.050246721,0.614254594,0.392445683,0
22421,1.724482894,3.486664772,1.670393007,0.290359259,0.401880562,0
3864,2.012142658,3.652416706,1.528997771,0.066083163,0.405072451,0
42130,1.919719696,4.316504002,2.202869801,0.277876168,0.389378011,0
42129,1.919719696,4.320205212,2.190437262,0.277876168,0.392445683,0
21360,2.001780033,3.219611645,1.252924457,0.164833546,0.408270657,0
2776,1.706273794,3.993931293,2.1096443,0.848470569,0.392445683,0
4787,1.728362203,3.539277077,1.64244136,0.212263405,0.401880562,0
2094,2.113946438,3.238983393,0.446913085,0.0790575,0.427565396,1
2097,2.075025558,3.259000063,0.461623982,0.063751012,0.427565396,1
2095,2.066853523,3.252371311,0.438657567,0.095212318,0.427565396,0
25870,1.621985316,2.747984886,0.242980248,2.790504217,0.437365353,1
44650,1.621985316,2.482552767,0.24051653,2.214170933,0.434091926,1
3869,1.768072844,3.532125473,1.549627862,0.294154972,0.405072451,0
2096,2.075025558,3.240782499,0.454023785,0.061525073,0.427565396,1
2098,2.066853523,3.262087822,0.446112458,0.062632397,0.427565396,0
2099,2.075025558,3.24926281,0.465871944,0.042615242,0.427565396,1
6653,1.673082948,3.354635477,1.598056659,0.977170765,0.401880562,0
14499,1.986984491,3.2646451,1.331514378,1.287602425,0.408270657,0
7714,1.87686944,3.392548323,1.443517855,0.343626887,0.405072451,0
25102,1.376990318,2.814733505,0.269424754,1.352561712,0.437365353,1
25873,1.623008609,3.096342087,0.269768415,1.851725817,0.437365353,1
14500,1.888348699,3.373058081,1.434616149,0.957404613,0.405072451,0
924,1.484259605,3.810277462,2.059578836,0.982261539,0.392445683,0
11144,1.565943003,3.762841702,1.954732546,0.208228335,0.395555854,0
7965,1.640196919,2.577780724,0.274177976,1.208989382,0.434091926,1
49599,2.099509239,3.64380908,1.450413133,1.057315588,0.405072451,0
